num|Title|Summary
758|จองคิว ขุนคลัง|หลังจากเก้าอี้ของรมต.คลัง ไม่ว่างปุ๊ปเพราะได้ ปรีดี ดาวฉาย มารับตำแหน่งเป็นที่เรียบร้อยแล้ว งานหลวง  งานราษฎร์ เตรียมมาจ่อคิวให้เพรียบ
759|ธุรกิจ โรงกลั่น-ปิโตร ฟื้นชัด ดัน ปตท. พลิกกำไร 1.2 หมื่นล.|นักวิเคราะห์ชี้ธุรกิจ โรงกลุ่มกลั่น-ปิโตรเคมี ช่วยหนุนปตท.พลิกมีกำไรไตรมาส 2 ขณะที่ธุรกิจขุดเจาะและก๊าซยังหวังแย่ หวังฟื้นตัวได้ช่วงไตรมาส 4 ตามต้นทุนก๊าซที่มีแนวโน้มลดลงตามราคาน้ำมัน
760|คลังเร่ง7หมื่นรายตรวจสิทธิ์เยียวยา|คลังเพิ่มปุ่มสีเขียวเข้ม สำหรับตรวจสอบผู้มีสิทธิ์รับเงินเยียวยา 5 พันบาท แต่ยังโอนเงินไม่สำเร็จ เผยขณะนี้​ ยังมีผู้ได้รับสิทธิ์แต่โอนเงินไม่สำเร็จถึง​ 7​ หมื่นราย
761|คนดังจองซื้อ หุ้น STGT อื้อ เสี่ยยักษ์ โกยกำไรกว่า 1.1 พันล้าน|คนดังแห่จองซื้อไอพีโอหุ้น ศรีตรังโกลฟส์ พรึบ เสี่ยยักษ์ รับมากสุด 22.2 ล้านหุ้น กำไรแล้วกว่า 1.1 พันล้าน นางแบบดัง แคทรียา บีเวอร์ กวาดกำไรกว่า 844 ล้าน ตระกูล ตั้งคารวคุณ เจ้าของสีทีโอเอ ฟันกำไรกว่า 626 ล้าน 
762|ทองคำ ไปต่อ หรือต้องเริ่มระวัง|เศรษฐกิจโลกยังอ่วมพิษโควิด การอัดฉีดเงินของธนาคารกลางทั่วโลกยังไม่เห็นผลนัก ส่งผลให้สินทรัพย์เสี่ยงเริ่มผันผวน เกิดแรงเทขาย วิ่งเข้าหาสินทรัพย์ปลอดภัยอย่าง ทองคำ ทำให้ราคาพุ่งขึ้นอย่างรวดเร็ว แต่ปรากฏการณ์นี้สะท้อนอะไรบ้าง? และแนวโน้มจะเป็นอย่างไร?
763|สุขสันต์วันแม่ เปิดวิธี ออมทอง เซอร์ไพรส์แม่ เริ่มต้นด้วยเงิน 1,000 บาท|ส่องวิธี ออมทอง ช่องทางเปลี่ยนเงินเดือนละ 1,000 บาท ให้กลายเป็น ทองคำ ก้อนโต เซอร์ไพรส์แม่ หรือเป็นทางเลือกช่วยสร้างทรัพย์สินในระยะยาว 
764|SPALI เผยกำไรไตรมาส 2 วูบ 45% ตามยอดโอนที่ลดลง |SPALI เผยกำไรสุทธิไตรมาส 2/2563 ที่ 420.09 ล้านบาท ลดลง 45% จากปีก่อน ตามยอดโอนกรรมสิทธิ์ที่ลดลง พร้อมอนุมัติจ่ายปันผลระหว่างกาล 0.50 บาทต่อหุ้น
765|ตลาดหลักทรัพย์ฯ ตั้ง พัฒนา วงศ์นิรันดร์ นั่งผู้ช่วยผู้จัดการสายไอที|ตลาดหลักทรัพย์ฯ ตั้ง พัฒนา วงศ์นิรันดร์ เป็นผู้ช่วยผู้จัดการ หัวหน้ากลุ่มงานพัฒนาระบบงานเทคโนโลยีสารสนเทศ มีผล 16 ส.ค. นี้
766|เงินบาท ปิดตลาดวันนี้ แข็งค่า ที่ 31.08 บาทต่อดอลลาร์|เงินบาทกลับมาปิดตลาดแข็งค่าตามสกุลเงินอื่นในภูมิภาค จากดอลลาร์ขาดแรงหนุน ตลาดรอติดตามปัจจัยใหม่ระหว่างสหรัฐกับจีน และมาตรการเยียวยาโควิดของสหรัฐ
767|GULF โชว์กำไรไตรมาส 2/63 พุ่ง17.28% |กัลฟ์ เอ็นเนอร์จี ดีเวลลอปเมนท์ รายงานกำไรสุทธิไตรมาส 2/63 พุ่งขึ้นกว่า 17.28% มาอยู่ที่ระดับ1,880 ล้านบาท เพิ่มขึ้นจากช่วงเดียวกันปีก่อนที่มีกำไรเพียง 1,603 ล้านบาท เหตุกำไรจากการดำเนินงานปกติโตขึ้น-พร้อมรับรู้ผลกำไรจากอัตราแลกเปลี่ยน
768|CPALLโค้ง2ไม่ขาดทุน โชว์กำไร 2.88 พันล้าน |CPALL ไตรมาส2/63 กำไรสุทธิ 2.88 พันล้าน ลดลง 39.8% จากช่วงเดียวกันปีก่อนที่มีกำไรสุทธิ 4.79 พันล้าน ซึ่งสวนทางกับนักวิเคราะห์ ที่คาดว่าไตรมาสนี้ CPALL จะมีผลขาดทุน ขณะงวดครึ่งปีแรก63 มีกำไรสุทธิ 8.53 พันล้าน ลดลง19.2%เหตุรายได้ร้านสะดวกซื้อลดลง
769|ธปท. รับมอบ ทองคำ สมทบเข้า ทุนสำรองเงินตรา|ผู้ว่าฯธปท.รับมอบ ทองคำจำนวน 10 กิโลกรัม จากคณะศิษยานุศิษย์ หลวงตาพระมหาบัว เข้าสมทบเข้าเป็นทุนสำรองเงินตรา
770|เราไม่ทิ้งกัน ตรวจสิทธิ เงินเยียวยา ห้าพัน ยังมีคนโอนเงินไม่สำเร็จ เช็ค 12 ส.ค.นี้!|เราไม่ทิ้งกัน ตรวจสอบสิทธิ เงินเยียวยา ล่าสุดยังมีผู้ได้รับสิทธิเงิน 5,000 บาท แต่โอนเงินไม่สำเร็จ รีบตรวจสอบสถานะผ่านเมนูใหม่ เริ่มใช้วันที่ 12 สิงหาคม 2563 นี้ 
771|ธปท.-สรท. ถก มุมมองศก.-ค่าเงิน รับตลาดเงิน ผันผวนขึ้น|สรท. เข้าพบธปท. แลกเปลี่ยนมุมมองสถานการณ์ค่าเงินในช่วงที่เศรษฐกิจไทยฟื้นตัวช้า รับตลาดเงินมีแนวโน้มผัวผวนขึ้น ธปท.ไม่สามารถฝืนตลอดได้ แนะธุรกิจรับความเสี่ยง พร้อมปรับตัวเข้าสู่โลกใหม่หลังโควิด-19
772|อัตราแลกเปลี่ยนเงินตราต่างประเทศ (11 ส.ค.63)|อัตราแลกเปลี่ยนเงินตราต่างประเทศ (Currency Cross Rate) วันที่ 11 สิงหาคม 2563 ณ เวลาประมาณ 17.35น.
773|หุ้นไทย ภาคบ่าย ปิดตลาด 1,336.84 จุด บวก 14.83 จุด หรือ 1.12%|กรุงเทพธุรกิจออนไลน์ - การซื้อขายหลักทรัพย์ภาคบ่ายวันอังคาร (11 ส.ค. 63) เวลา 17.00 น. ดัชนีปิดที่ระดับ 1,336.84 จุด ปรับเพิ่มขึ้น 14.83 จุดหรือคิดเป็น 1.12% มูลค่าการซื้อ-ขายทั้งสิ้น 71,983.87 ล้านบาท
774|ราคาทอง ผันผวน ปรับ 14 ครั้ง ลด 650 บาท|ราคาทองวันนี้ ปรับ 14 ครั้ง รวมลด 650 บาท ทองรูปพรรณขายออก 29,750 บาท ทองแท่งขายออก 29,250 บาท
775|เมืองไทยประกันภัย โชว์กำไรครึ่งปีแรกพุ่งเกือบ200% |เมืองไทยประกันภัยครึ่งปีแรกนี้ฟันกำไรแตะ352ล้านบาท โต193.10% และมีเบี้ยประกัน 7,127ล้านบาทโต16.4% พร้อมเดินหน้ารองรับวิถีใหม่ยุค New Normal ระวังค่าใช่จ่าย-ความคุ้มครองคุ้มค่า และสร้างชุมชนแห่งรอยยิ้ม
776|CPFTH เคาะดอกเบี้ยหุ้นกู้ 3.15-4.11%|ซีพีเอฟ (ประเทศไทย) เคาะอัตราดอกเบี้ยหุ้นกู้อายุ 4-15ปีที่ระดับ 3.15-4.11% พร้อมเสนอขายผู้ลงทุนสถาบัน-ผู้ลงทุนรายใหญ่ระหว่างวันที่ 17-19 ส.ค.นี้
777|CIMBT ปักธง ลุยดิจิทัล ตั้งเป้าลูกค้าใช้แอพฯ สิ้นปี พุ่ง 6.3แสนราย |ซีไอเอ็มบีไทย ตั้งเป้าลุยดิจิทัลเต็มสูบ ดันสิ้นปีลูกค้าใช้แอพพุ่ง 5แสนราย เป็น 6.3 แสนรายสิ้นปีนี้ หลังลุยให้บริการผ่านดิจิทัลเต็มสูบ ทั้งเปิดบัญชีเงินฝาก โดยให้ยืนยันตัวตน e kyc ผ่านเซเว่น พร้อมปักธง เปิดเวลล์ซื้อกองทุน ประกันผ่านดิจิทัลปีหน้า
778|หุ้นไทย ภาคเช้า ปิดที่ 1,342.75 จุด บวก 20.74 จุด หรือ 1.57%|กรุงเทพธุรกิจออนไลน์ - การซื้อขายหลักทรัพย์ภาคเช้าวันอังคาร (11 ส.ค. 63) เวลา 12.30 น. ดัชนีปิดอยู่ที่ 1,342.75 จุด ปรับเพิ่มขึ้น 20.74 จุด หรือ 1.57% มูลค่าการซื้อ-ขายทั้งสิ้น 35,953.49 ล้านบาท
779|หุ้นท่องเที่ยววิ่งยกแผง หลัง Goldman Sachs มองศก.ปีหน้าฟื้นแรงกว่าคาดไว้เดิม|หุ้นกลุ่มท่องเที่ยวพุ่ง 5 - 10% นำโดย MINT - AOT หลัง Goldman Sachs ประเมิน GDP สหรัฐปีหน้าโต 6.2% จากเดิมที่คาดไว้ 5.6% จากวัคซีนที่น่าจะกระจายได้ทั่วถึงอย่างช้าปลายไตรมาส 2/2564
780|ธปท.อัตราแลกเปลี่ยนกลาง 37.1186 บาท/ยูโร (แข็งค่า 0.1778 บาท/ยูโร)|กรุงเทพธุรกิจออนไลน์ / อัตราถัวเฉลี่ยค่าเงินยูโรต่อบาท ณ สิ้นวันทำการวันจันทร์ (10 ส.ค. 63) อยู่ที่ระดับ 37.1186 บาท/ยูโร 
781|ธปท.อัตราแลกเปลี่ยนกลาง 31.169 บาท/ดอลลาร์ (แข็งค่า 0.005 บาท/ดอลลาร์)|กรุงเทพธุรกิจออนไลน์ / อัตราอ้างอิงค่าเงินบาทของธนาคารแห่งประเทศไทย ณ สิ้นวันทำการวันจันทร์ (10 ส.ค. 63)อยู่ที่ระดับ 31.169 บาท/ดอลลาร์
782|หุ้นไทย เวลา 10.20น. ดัชนีอยู่ที่ 1,335.80 จุด บวก 13.79 จุด หรือ 1.04%|กรุงเทพธุรกิจออนไลน์ ณ เวลา 10.20น. การซื้อขายหลักทรัพย์ภาคเช้าวันอังคาร (11 ส.ค. 63) ดัชนีอยู่ที่ 1,335.80 จุดปรับเพิ่มขึ้น 13.79 จุด คิดเป็น 1.04% มูลค่าการซื้อ-ขายทั้งสิ้น 8,765.89 ล้านบาท
783|เมืองไทยประกันภัยลุ้นเบี้ยปีนี้โต8%|เมืองไทยประกันภัย ลุ้นเบี้ยรับปีนี้โต 7-8% อานิสงส์เบี้ยโควิดหนุน ประเมินแนวโน้มธุรกิจครึ่งปีหลัง ความไม่แน่นอนยังสูงจากพิษเศรษฐกิจ กำลังซื้อผู้บริโภคชะลอ พร้อมปรับกลยุทธ์รุกตลาดครึ่งปีหลัง เน้นเจาะตลาดผู้หญิง ตั้งเป้าเบี้ยรับ 150 ล้านในปีนี้ 
784|ราคาทองวันนี้ ร่วง 200 บาท|ราคาทองวันนี้ ร่วง 200 บาท ทองรูปพรรณขายออก 30,200บาท ทองแท่งขายออก 29,700 บาท
785| หุ้น ยางแท็กทีมราคาพุ่ง รอลุ้นกำไรบวกยกกลุ่ม|กลับมาเป็นหุ้นขาขึ้นอีกครั้งในธุรกิจยางพาราที่ขึ้นมาแบบแพ๊กกลุ่มจนความเคลื่อนไหวของราคาหุ้นขยับขึ้นในช่วงหลายวันที่ผ่านมา 
786|โหนกระแสไอพีโอ |บรรดาหุ้นไอพีโอเรียงหน้าจ่อเข้าตลาดหุ้นกันคึกคัก เพราะถือว่าฤกษ์ดี โอกาสงาม จังหวะเข้าเทรดวันแรกมีสิทธิราคา พุ่งได้ ด้วยบรรยากาศตลาดหุ้นกลับหันมา สนใจหุ้นไอพีโอ แทนบรรดาหุ้นใหญ่ไร้ประเด็นบวก   
787|เอไอเอรุกธุรกิจบลจ. เจาะประกันยูนิตลิงค์|เอไอเอ เปิดตัวธุรกิจ บลจ. บริหารเงินรวมกว่า 8.47 แสนล้าน ขึ้นแท่นบริษัทใหญ่อันดับ 3 ในประเทศ หวังเชื่อมโอกาสลงทุนผ่านเครือข่ายทั่วโลก เน้นตอบโจทย์ลูกค้าประกันยูนิตลิงค์ ล่าสุด ประเดิมออกกองทุนรวม ทั้งใน-ต่างประเทศ ชูค่าธรรมเนียมต่ำกว่าตลาด 0.5%
788|หุ้นไทยวันนี้ส่อขยับแดนบวก ลุ้นสหรัฐฯไฟเขียวมาตรการกระตุ้นศก.-ราคาน้ำมันเด้ง|นักวิเคราะห์บล.กรุงศรี ประเมินตลาดหุ้นไทยวันนี้จะปรับตัวขึ้นทดสอบ 1,330 – 1,335 จุด เหตุนักลงทุนคาดหวังรัฐบาลสหรัฐจะบรรลุข้อตกลงการออกมาตรการกระตุ้นเศรษฐกิจวงเงิน 1 ล้านล้านดอลลาร์ภายในสัปดาห์นี้ และแรงหนุนจากราคาน้ำมันดิบฟื้นตัวขึ้น
789|เงินบาท เปิดตลาดวันนี้ แข็งค่า ที่ 31.11 บาทต่อดอลลาร์ |เงินบาทแกว่งตัวกรอบกว้าง ยังไม่เห็นภาพเงินทุนไหลเข้าอย่างมีนัยสำคัญทั้งหุ้นและบอนด์ จากตลาดมีมุมมองระมัดระวังตัวสูงกับสกุลเงินเอเชียอยู่ และรอติดตามการเจรจาการค้าสหรัฐกับจีนช่วงปลายสัปดาห์นี้ 
790|กรุงศรี ฟินโนเวต ขยับแผนลงทุน  เจาะ สตาร์ทอัพ รับอานิสงส์โควิด|กระแส ดิจิทัล ดิสรัปชัน ที่โถมเข้ามาต่อเนื่องในช่วงหลายปีนี้ มีอิทธิพลต่อหลายภาคอุตสาหกรรม ซึ่งภายใต้การเปลี่ยนผ่านดังกล่าว ส่งผลต่อพฤติกรรมของผู้บริโภคที่เปลี่ยนแปลงไปด้วย 
791|บอร์ดทีคิวเอ็มเคาะจ่ายปันผลระหว่างกาล 1 บาท/หุ้น หลังผลงานครึ่งปีแรกนี้กำไรนิวไฮ|บอร์ดทีคิวเอ็ม เคาะจ่ายปันผลระหว่างกาลเป็นเงินสด 1 บาทต่อหุ้น สวนกระแสเศรษฐกิจ หลังผลประกอบการครึ่งแรกปี 2563 เติบโตโดดเด่น กำไรรวม 2 ไตรมาสสูงสุดเป็นประวัติการณ์แตะ 342 ล้านบาท เพิ่มขึ้นเกือบ 50% ตามยอดขายประกันพุ่ง
792|บิทคอยน์พุ่งทุบสถิติรอบปี กูรูชี้ปัจจัยหนุนอื้อ 7 เดือนราคาวิ่ง 66% |กูรู ฟันธง บิทคอยน์ ส่งสัญญาณขาขึ้น จากหลายปัจจัย จิรายุส ยก 3 เหตุผลดันราคาพุ่ง ทั้ง เฟด อัดฉีดคิวอีไม่อั้น ปรากฏการณ์ฮาร์ฟวิ่ง สหรัฐไฟเขียวแบงก์รับฝากเงินดิจิทัลได้ เผยปีนี้ราคาพุ่งแล้ว 66% ด้าน ปรมินทร์ ชี้พุ่งตามแรงซื้อทองคำ 
793|คุยกันเรื่อง ทองคำ|ชวนคุยเรื่อง ทองคำ สินทรัพย์ที่มีความเสี่ยงและผันผวนสูง รวมถึงมีผลตอบแทนที่สูงกว่าสินทรัพย์อื่นๆ ทุกประเภท ทำไมราคาทองจึงปรับตัวเพิ่มขึ้นอย่างมากในช่วง 20 ปีที่ผ่านมา ท่ามกลางภาวะเงินเฟ้อทั่วโลกไม่ได้อยู่ที่ระดับสูงและมีแนวโน้มปรับตัวลดลง
794|PTT อ่วม กำไรไตรมาส 2/63 ลดฮวบ 53.5%|ปตท. รายงานกำไรไตรมาส 2/63 ลดลงกว่า 53.5% ทำได้เพียง 12,053 ล้านบาท ลดลงเมื่อเทียบกับช่วงเดียวกันปีก่อนที่มีผลกำไรสุทธิ 25,938 ล้านบาท เหตุ EBITDA ที่ลดลง-ขาดทุนจากตราสารอนุพันธ์ที่เพิ่มขึ้น รวมถึงรับรู้ขาดทุนจากการด้อยค่าสินทรัพย์ของธุรกิจสำรวจและ
795|เอไอเอ เขย่าตลาดกองทุนรวม บริหาร AUM 8.47 แสนล้าน ขึ้นแท่นอันดับ 3|เอไอเอ เปิดตัว บลจ. เอไอเอ เชื่อมโอกาสการลงทุนผ่นเครือข่ายทั่วโลก ขึ้นแท่น บลจ. ขนาดใหญ่อันดับ 3 ด้วยมูลค่าสินทรัพย์ภายใต้การบริหาร 8.47 แสนล้านบาท พร้อมชูจุดเด่นค่าธรรมเนียมการจัดการกองทุนรวมเชิงรุกที่ลดลง เพื่อสร้างอัตราผลตอบแทนที่ดีกว่า 
796|เงินบาท ปิดตลาดวันนี้ แข็งค่า ที่ 31.13บาทต่อดอลลาร์|เงินบาทเคลื่อนไหวกรอบแคบตลาดกลับมารอประเมินปัจจัยใหม่ จับสัญญาณความขัดแย้งระหว่างสหรัฐกับจีน
797|หุ้นไทย ภาคบ่าย ปิดตลาด 1,322.01 จุด ลบ -2.39 จุด หรือ -0.18%|กรุงเทพธุรกิจออนไลน์ - การซื้อขายหลักทรัพย์ภาคบ่ายวันจันทร์ (10 ส.ค. 63) เวลา 17.00 น. ดัชนีปิดที่ระดับ 1,322.01 จุด ปรับลดลง -2.39 จุดหรือคิดเป็น -0.18% มูลค่าการซื้อ-ขายทั้งสิ้น 37,417.75 ล้านบาท
798|อัตราแลกเปลี่ยนเงินตราต่างประเทศ (10 ส.ค.63)|อัตราแลกเปลี่ยนเงินตราต่างประเทศ (Currency Cross Rate) วันที่ 10 สิงหาคม 2563 ณ เวลาประมาณ 16.45น.
799|หุ้นไทย ภาคเช้า ปิดที่ 1,328.60 จุด บวก 4.20 จุด หรือ 0.32%|กรุงเทพธุรกิจออนไลน์ - การซื้อขายหลักทรัพย์ภาคเช้าวันจันทร์ (10 ส.ค. 63) เวลา 12.30 น. ดัชนีปิดอยู่ที่ 1,328.60 จุด ปรับเพิ่มขึ้น 4.20 จุด หรือ 0.32% มูลค่าการซื้อ-ขายทั้งสิ้น 18,521.61 ล้านบาท
800|TOP โชว์ผลงานไตรมาส 2/63 ฟันกำไรสุทธิพุ่ง 300%|ไทยออยล์ รายงานผลการดำเนินงานไตรมาส 2/63 มีกำไรสุทธิเพิ่มขึ้น 300% อยู่ที่ระดับ 2,480 ล้านบาท จากช่วงเดียวกันปีก่อนที่ทำได้ 566 ล้านบาท เหตุมีกำไรจากการกลับรายการมูลค่าสินค้าคงเหลือและกำไรอัตราแลกเปลี่ยน
801|ทีเอ็มบี-ธนชาต ปักธง รวมกิจการ เสร็จสิ้น ก.ค. 64 |ทีเอ็มบี ธนชาต เผยภารกิจรวมสองธนาคารเดินตามเป้าหมายราบรื่น ก่อนรวมกิจการจะเสร็จสิ้นภายในเดือนก.ค.64 ด้วยการนำจุดแข็งมาส่งเสริมกันและกัน พร้อมร่วมสร้างสรรค์ผลิตภัณฑ์และบริการทางการเงินต่างๆ เพื่อมอบประสบการณ์ที่ดีให้ลูกค้าเพิ่ม
802| AUCTราคาพุ่งแรง12.76%รับงบโค้ง2โต65%-โบรกปรับเพิ่มเป้ากำไรปีนี้|AUCT ราคาหุ้นพุ่งแรงกว่า 12.76% หลังประกาศกำไรไตรมาส2/63โต 65%อยู่ที่ 70.80 ล้านบาท ขณะโบรกเกอร์ปรับเป้ากำไรปีนี้เพิ่มเป็น 274 ล้านบาท จากเดิมที่ 251 ล้านบาท เหตุ คาดกำไรครึ่งปีหลังโตกว่าครึ่งปีแรก
803|ก.ล.ต. เปิดบทความ การเปิดเผยข้อมูลด้านความยั่งยืน....สำคัญจริงแท้|ก.ล.ต. เปิดบทความการเปิดเผยข้อมูลด้านความยั่งยืน....สำคัญจริงแท้ซึ่งเป็นหนึ่งในภารกิจหลักที่ให้ความสำคัญโดยได้พัฒนาแนวทางส่งเสริมและบูรณาการกับทุกฝ่ายที่เกี่ยวข้องอย่างต่อเนื่อง เพื่อขับเคลื่อนให้ตลาดทุนไทยบรรลุเป้าหมายการเป็นตลาดทุนที่ยั่งยืน 
804|คลังเปิดจอง ซีเนียร์คอมเพล็กซ์ ปีนี้|อธิบดีกรมธนารักษ์ เผย ภายในปลายปีนี้ กรมฯจะเปิดให้ผู้สูงอายุเข้าจองซีเนียร์คอมเพล็กซ์ที่พัฒนาร่วมกับโรงพยาบาลรามาธิบดีที่อำเภอบางพลี สมุทรปราการ กำหนดราคาไม่เกิน 1.9 ล้านบาท ระยะเช่าซื้อยาว 30 ปี
805|ธปท.อัตราแลกเปลี่ยนกลาง 31.174 บาท/ดอลลาร์ (อ่อนค่า 0.105 บาท/ดอลลาร์)|กรุงเทพธุรกิจออนไลน์ / อัตราอ้างอิงค่าเงินบาทของธนาคารแห่งประเทศไทย ณ สิ้นวันทำการวันศุกร์ (7 ส.ค. 63)อยู่ที่ระดับ 31.174 บาท/ดอลลาร์
806|ธปท.อัตราแลกเปลี่ยนกลาง 37.2964 บาท/ยูโร (อ่อนค่า 0.0792 บาท/ยูโร)|กรุงเทพธุรกิจออนไลน์ / อัตราถัวเฉลี่ยค่าเงินยูโรต่อบาท ณ สิ้นวันทำการวันศุกร์ (7 ส.ค. 63) อยู่ที่ระดับ 37.2964 บาท/ยูโร
807|หุ้นไทย เวลา 10.04น. ดัชนีอยู่ที่ 1,328.95 จุด บวก 4.55 จุด หรือ 0.34%|กรุงเทพธุรกิจออนไลน์ ณ เวลา 10.04น. การซื้อขายหลักทรัพย์ภาคเช้าวันจันทร์ (10 ส.ค. 63) ดัชนีอยู่ที่ 1,328.95 จุดปรับเพิ่มขึ้น 4.55 จุด คิดเป็น 0.34% มูลค่าการซื้อ-ขายทั้งสิ้น 2,588.17 ล้านบาท
808|CBG เปิดกระโดด 6% หลังโชว์กำไร Q2/63 โต 70% จากยอดขายต่างประเทศ|CBG พุ่ง 5% เช้านี้ หลังโชว์กำไร 4.5 พันล้านบาท ในไตรมาส 2/2563 เติบโต 20% จากปีก่อน หนุนจากรายได้ต่างประเทศโต 27% นักวิเคราะห์คาดกำไรนิวไฮต่อเนื่อง 
809|KKP ลุ้นธปท.ไฟเขียวปันผลงวดปี 63 ยันกำไรสะสมปึ้ก 4.4 หมื่นล้าน| KKP ชี้มีศักยภาพจ่ายปันผลปี 2563 แต่รอดูนโยบายธปท. ย้ำต้องพิจารณาให้เหมาะสม เพราะอีกด้าน ธนาคารจำเป็นต้องเก็บกระสุน เพื่อสำรองเพิ่ม รองรับหนี้เสีย จากความเสี่ยงผิดนัดชำระมีแนวโน้มเพิ่มขึ้น 
810|ราคาทองวันนี้ ลง 100 บาท|ราคาทองวันนี้ ปรับลด 100 บาท ทองรูปพรรณขาย 30,400 บาท ทองแท่งขาย 29,900 บาท
811|บีดีเอ็มเอส พ้นจุดต่ำสุด? คนไข้ฟื้น-หนุนงบครึ่งปีหลัง|แม้จะเตรียมใจไว้แล้วว่าผลประกอบการงวดล่าสุดไตรมาส 2 ปี 2563 ของบริษัทจดทะเบียนไทยที่กำลังทยอยประกาศในช่วงนี้ คงไม่สดใสเท่าไหร่ หลายบริษัทน่าจะเจ็บหนัก หลังถูกพิษโควิด-19 เล่นงานจนอ่วม!
812|EP ทุ่ม 518 ล้านบาท เข้าซื้อโรงไฟฟ้าพลังงานลมที่เวียดนามรวม 100 เมกะวัตต์|EP ทุ่มเงินราว 518 ล้านบาท เข้าซื้อ 2 โรงไฟฟ้าพลังงานลมที่เวียดนาม กำลังการผลิต 100 เมะวัตต์ คาดเริ่มขายไฟฟ้าสิ้นเดือน ต.ค. 2564 
813|โบรกคาดหุ้นไทยวันนี้ผันผวน1,315 - 1,335 จุด|โบรกคาดหุ้นไทยวันนี้แกว่งตัว 1,315 - 1,335จุด แม้ตลาดจะได้ปัจจัยบวกจากตัวเลขเศรษฐกิจสหรัฐออกมาดี แต่ความแย้งระหว่างสหรัฐ-จีนรอบใหม่ รวมถึงราคาน้ำมันดิบที่ปรับตัวลง นอกจากนี้แรงขาย Sell on fact หลังประกาศงบไตรมาส2/63จะกดดันให้ดัชนีผันผวนสูง
814|ตลท.ลุ้นมาร์เก็ตแคปไอพีโอปีนี้แตะ5แสนล้าน เหตุบริษัทใหญ่จ่อระดมทุนอื้อ|ตลาดหลักทรัพย์ฯ คาดมูลค่ามาร์เก็ตแคปของหุ้นไอพีโอมีลุ้นพุ่งแตะระดับ 5 แสนล้าน เหตุบริษัทขนาดใหญ่จ่อทยอยเข้าระดมทุนต่อเนื่อง หลังมีหุ้นได้รับอนุมัติไฟลิ่งแล้วกว่า 10 ราย ผู้จัดการตลท. เผย มาร์เก็ตแคปปีนี้อาจสูงกว่าค่าเฉลี่ยที่ระดับ 2.5-3 แสนล้านต่อปี
815| มาแล้ว STGT|อุ๊ยๆๆๆ หุ้นน้องใหม่ราคาฟาดฟันกันแรงแทบทุกวัน ขยันแย่งกันทำราคานิวไฮไม่สนใจภาวะตลาดหุ้น ยิ่งหุ้นจำนวนน้อยราคาขึ้นลงเล่นรอบกันสนุก
816|เงินบาท เปิดตลาดเช้านี้ อ่อนค่า ที่ 31.18บาทต่อดอลลาร์ |นักลงทุนมีมุมมองเชิงบวกกับวัฏจักรของเศรษฐกิจและเริ่มลดการถือสินทรัพย์ปลอดภัยลงแล้ว หลังตัวเลขว่างงานสหรัฐฟื้นตัว ฝั่งเงินบาทจับตาแรงกดดันจากปัจจัยการเมืองในประเทศ
817|วางแผนเกษียณผ่าน RMF|แม้ในช่วงที่เศรษฐกิจไทยและตลาดหุ้นไทยมีความผันผวน แต่การเก็บเงินไว้ใช้จ่ายในอนาคตเมื่อ เกษียณอายุ นับว่าเป็นเรื่องที่คนไทยยังไม่ลืมและเห็นความสำคัญกับการลงทุนประเภทนี้มากขึ้น 
818|หุ้นกู้ คึกเอกชนแห่ระดมทุน หวังตุนสภาพคล่อง|เอกชน หันระดมทุนผ่านหุ้นกู้ หลังดีมานด์เริ่มสูงขึ้น จากดอกเบี้ยเงินฝากที่ต่ำ ทั้งสถานการณ์โควิดในประเทศเริ่มคลี่คลาย ไทยบีเอ็มเอ มั่นใจยอดระดมทุนปีนี้ไม่ต่ำกว่า 8 แสนล้าน หลังภาคเอกชนเริ่มหันมาระดมทุนในตลาดนี้มากขึ้น 
819|ตลาดหุ้นไทยได้ไปต่อ หรือต้องพักบ้าง ?|ส่องโมเดลสำหรับการพิจารณา Momentum ตลาดหุ้นไทย เพื่อใช้พิจารณาการลงทุนควบคู่ไปกับปัจจัยพื้นฐานอื่นๆ หลังจาก SET index เริ่มเข้าสู่การ Sideway จากที่ก่อนหน้านี้รีบาวด์ขึ้นมากหลังเกิดวิกฤติโควิด-19 ก่อนที่ลงไปทำจุดต่ำสุดช่วงเดือน มี.ค.
820|ลุ้นต่างชาติ & สถาบันในประเทศ กลับซื้อสุทธิดัน SET INDEX |สถานการณ์โควิด-19 คลี่คลายดีขึ้น ไทยเริ่มปลดล็อกมากขึ้น หนุนสถาบันภายในประเทศและต่างชาติเริ่มซื้อสุทธิสลับกับขายสุทธิ สะท้อนมุมมองที่เป็นบวกบ้างแล้ว สำหรับการบริหารพอร์ตช่วงนี้ควรจะมีสภาพคล่องให้มากๆ และควรเลือกหุ้นใน Most Active by Value
821|หมดแล้ว! สินเชื่อ ธอส. นาทีทอง Golden minute จองครบ 900 ล้าน ใน 7 วินาที|ธนาคารอาคารสงเคราะห์ (ธอส.) เผยลูกค้าประชาชนแห่จองสิทธิ์สินเชื่อบ้านอัตราดอกเบี้ย 0% นาน 12 เดือน ผ่าน Application : GHB ALL ในช่วงนาทีทอง Golden minute ยอดจองเต็มวงเงิน 900 ล้านบาท ภายใน 7 วินาที
